"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
3,3.875,4.46666666666667,24,"Woman","Casually Dating",1.2,4
3,4.25,5.6,25,"Woman","Casually Dating",5.6,6
2,6.5,3.6,23,"Man","Friendship",6.8,3
3,2.375,5.13333333333333,22,"Woman","Casually Dating",2.6,7
1,2.125,4,19,"Woman","Romantic Relationship",6.6,3
1,3.125,5.26666666666667,18,"Man","Friendship",4.8,4
1,2.625,5.06666666666667,27,"Woman","Romantic Relationship",7,6
2,6.625,4.53333333333333,18,"Man","Friendship",6.2,4
1,2.125,5.53333333333333,29,"Man","Friendship",4,6
3,1.375,5.86666666666667,23,"Woman","Friendship",3.4,6
1,1,4.4,22,"Man","Friendship",6.8,2
2,4.375,5.6,23,"Woman","Casually Dating",3.6,3
3,2.75,4.46666666666667,25,"Woman","Romantic Relationship",5,5
1,1.25,5.46666666666667,25,"Woman","Friendship",7,7
1,1.375,3.53333333333333,27,"Man","Friendship",5.8,7
3,1,5.73333333333333,21,"Woman","Romantic Relationship",6.4,4
1,2,6,20,"Man","Friendship",4,6
2,6.625,4.73333333333333,28,"Man","Romantic Relationship",7,1
1,2.5,5.46666666666667,26,"Man","Friendship",4.8,4
2,6.75,4.4,19,"Man","Friendship",5,5
3,1.5,5.26666666666667,25,"Man","Romantic Relationship",3.8,7
2,6.125,4.8,22,"Woman","Friendship",4.8,3
1,1.75,3.53333333333333,23,"Man","Friendship",5.6,4
1,1.75,4.2,25,"Woman","Friendship",6.8,4
2,5.75,5.26666666666667,29,"Woman","Friendship",1,7
3,3,4.4,21,"Man","Friendship",4.4,3
3,4,4.06666666666667,26,"Man","Romantic Relationship",4.4,3
1,4,3.66666666666667,29,"Woman","Casually Dating",1.6,2
1,4.125,3.8,26,"Woman","Friendship",2.2,6
2,5.875,5.13333333333333,24,"Woman","Casually Dating",5.8,5
1,3.75,4.4,24,"Man","Friendship",3.6,4
2,5.875,4.73333333333333,29,"Other","Friendship",4.6,3
2,6.125,4.33333333333333,20,"Man","Casually Dating",5.6,3
1,1.75,3.13333333333333,24,"Man","Friendship",5.4,3
2,4.625,4.06666666666667,28,"Man","Friendship",6,4
2,5.75,3.66666666666667,29,"Other","Friendship",5.2,3
3,4.25,4.06666666666667,26,"Man","Friendship",4.2,3
2,6.5,4.46666666666667,25,"Woman","Friendship",6,2
3,4.25,5.6,22,"Woman","Romantic Relationship",5.2,3
3,3.5,3.13333333333333,29,"Woman","Romantic Relationship",4.8,2
2,6.375,5.13333333333333,28,"Man","Casually Dating",5.2,2
1,2,5.8,21,"Woman","Friendship",1,7
2,6.875,6.26666666666667,29,"Woman","Romantic Relationship",6.8,1
2,5.75,5.66666666666667,20,"Woman","Casually Dating",2.2,2
3,2.625,4.2,24,"Woman","Romantic Relationship",2.6,4
1,2,3.66666666666667,24,"Man","Friendship",5.2,6
2,7,6.13333333333333,24,"Woman","Romantic Relationship",7,4
1,1,5.86666666666667,22,"Man","Friendship",6,7
3,3.5,4.6,29,"Man","Casually Dating",4.2,4
1,1,5,26,"Man","Romantic Relationship",6.6,7
2,6,4.2,27,"Woman","Romantic Relationship",4.6,3
2,6,3.66666666666667,26,"Man","Casually Dating",5.8,6
2,4.375,4.06666666666667,20,"Man","Romantic Relationship",4.8,3
3,3.125,5.26666666666667,26,"Man","Friendship",3.4,6
1,2.125,3.46666666666667,29,"Woman","Friendship",4.8,5
2,7,4.93333333333333,27,"Man","Romantic Relationship",7,1
1,2.25,4.6,27,"Woman","Friendship",5.2,5
1,1,6.6,26,"Man","Friendship",7,7
3,1.75,4.06666666666667,23,"Woman","Casually Dating",6,5
1,2.625,2,23,"Man","Romantic Relationship",6.2,7
3,4,4.13333333333333,25,"Woman","Friendship",5.2,2
3,2.25,3.53333333333333,20,"Man","Romantic Relationship",6.4,4
1,2.625,3,29,"Man","Casually Dating",2.4,2
2,6.125,5.13333333333333,20,"Woman","Romantic Relationship",4.6,4
2,5.125,4.26666666666667,28,"Woman","Romantic Relationship",5.2,2
3,1,4.8,24,"Woman","Friendship",2.8,7
2,6.375,5.8,28,"Man","Friendship",6,2
1,4,5.33333333333333,27,"Woman","Casually Dating",3,5
2,5.875,6.2,20,"Woman","Friendship",6.8,6
3,1.625,4.33333333333333,24,"Man","Friendship",7,6
3,1.75,5.4,25,"Man","Casually Dating",5,6
