"condition","order","conf_dying","expertise","ease_imagining","gender"
"no video","pilot first",0,5,5,2
"video","pilot first",9,5,3,1
"video","dying first",20,1,1,2
"video","dying first",11,5,4,2
"no video","dying first",10,5,2,2
"no video","dying first",0,5,5,2
"video","pilot first",2,5,4,2
"no video","dying first",0,1,5,2
"video","dying first",12,5,5,2
"no video","dying first",15,5,4,2
"no video","pilot first",60,4,3,1
"no video","pilot first",30,5,2,1
"video","pilot first",43,5,2,2
"video","dying first",65,5,4,2
"no video","pilot first",0,1,5,2
"video","pilot first",0,4,3,2
"no video","pilot first",19,5,5,2
"no video","pilot first",10,5,4,1
"video","dying first",14,4,4,2
"video","pilot first",5,5,5,2
"no video","dying first",14,5,4,2
"video","pilot first",75,4,3,2
"video","pilot first",29,5,5,2
"no video","pilot first",61,5,5,2
"no video","dying first",30,5,2,1
"video","pilot first",0,5,5,2
"no video","pilot first",8,5,5,2
"video","dying first",0,5,4,2
"video","pilot first",30,5,2,1
"no video","pilot first",35,4,2,1
"no video","pilot first",0,5,5,2
"no video","dying first",34,5,2,2
"video","dying first",79,5,1,2
"no video","pilot first",0,5,5,1
"video","pilot first",60,5,5,1
"no video","dying first",51,5,3,1
"no video","pilot first",0,5,1,2
"video","pilot first",67,5,2,2
"video","dying first",0,1,4,2
"no video","dying first",74,4,3,2
"no video","dying first",39,5,3,2
"video","pilot first",27,1,3,1
"video","dying first",0,1,5,1
"no video","dying first",50,4,3,1
"video","dying first",40,5,4,2
"no video","pilot first",51,5,2,2
"no video","dying first",43,5,4,2
"no video","pilot first",29,5,5,2
"no video","dying first",11,5,1,2
"video","dying first",0,5,5,1
"no video","pilot first",51,5,1,2
"video","pilot first",1,5,4,2
"no video","dying first",60,5,2,2
"video","dying first",30,5,2,1
"no video","dying first",9,5,4,2
"video","pilot first",30,1,5,1
"video","pilot first",100,4,1,1
"video","pilot first",5,5,5,2
"video","pilot first",4,5,5,2
"no video","pilot first",8,5,5,2
"video","dying first",90,5,5,2
"no video","pilot first",67,5,5,2
