"nerror","adaptation","fontsize","position","id","acuity"
0,"AC","-0.1","5","31","normal"
0,"PA","0","1","31","normal"
0,"PA","0","2","31","normal"
0,"PA","0","3","31","normal"
0,"PA","0","4","31","normal"
0,"PA","0","5","31","normal"
0,"AC","0","1","31","normal"
0,"AC","0","2","31","normal"
0,"AC","0","3","31","normal"
0,"AC","0","4","31","normal"
0,"AC","0","5","31","normal"
4,"PA","-0.3","1","1","normal"
4,"PA","-0.3","2","1","normal"
4,"PA","-0.3","3","1","normal"
4,"PA","-0.3","4","1","normal"
3,"PA","-0.3","5","1","normal"
4,"AC","-0.3","1","1","normal"
4,"AC","-0.3","2","1","normal"
4,"AC","-0.3","3","1","normal"
4,"AC","-0.3","4","1","normal"
3,"AC","-0.3","5","1","normal"
0,"PA","-0.2","1","1","normal"
0,"PA","-0.2","2","1","normal"
0,"PA","-0.2","3","1","normal"
1,"PA","-0.2","4","1","normal"
1,"PA","-0.2","5","1","normal"
0,"AC","-0.2","1","1","normal"
0,"AC","-0.2","2","1","normal"
2,"AC","-0.2","3","1","normal"
0,"AC","-0.2","4","1","normal"
1,"AC","-0.2","5","1","normal"
0,"PA","-0.1","1","1","normal"
0,"PA","-0.1","2","1","normal"
0,"PA","-0.1","3","1","normal"
0,"PA","-0.1","4","1","normal"
0,"PA","-0.1","5","1","normal"
0,"AC","-0.1","1","1","normal"
0,"AC","-0.1","2","1","normal"
1,"AC","-0.1","3","1","normal"
0,"AC","-0.1","4","1","normal"
0,"AC","-0.1","5","1","normal"
0,"PA","0","1","1","normal"
1,"PA","0","2","1","normal"
0,"PA","0","3","1","normal"
0,"PA","0","4","1","normal"
0,"PA","0","5","1","normal"
0,"AC","0","1","1","normal"
1,"AC","0","2","1","normal"
0,"AC","0","3","1","normal"
0,"AC","0","4","1","normal"
0,"AC","0","5","1","normal"
4,"PA","-0.3","1","8","normal"
4,"PA","-0.3","2","8","normal"
4,"PA","-0.3","3","8","normal"
4,"PA","-0.3","4","8","normal"
3,"PA","-0.3","5","8","normal"
4,"AC","-0.3","1","8","normal"
4,"AC","-0.3","2","8","normal"
4,"AC","-0.3","3","8","normal"
4,"AC","-0.3","4","8","normal"
3,"AC","-0.3","5","8","normal"
1,"PA","-0.2","1","8","normal"
0,"PA","-0.2","2","8","normal"
0,"PA","-0.2","3","8","normal"
0,"PA","-0.2","4","8","normal"
0,"PA","-0.2","5","8","normal"
0,"AC","-0.2","1","8","normal"
1,"AC","-0.2","2","8","normal"
2,"AC","-0.2","3","8","normal"
1,"AC","-0.2","4","8","normal"
1,"AC","-0.2","5","8","normal"
0,"PA","-0.1","1","8","normal"
0,"PA","-0.1","2","8","normal"
0,"PA","-0.1","3","8","normal"
0,"PA","-0.1","4","8","normal"
0,"PA","-0.1","5","8","normal"
0,"AC","-0.1","1","8","normal"
0,"AC","-0.1","2","8","normal"
0,"AC","-0.1","3","8","normal"
0,"AC","-0.1","4","8","normal"
0,"AC","-0.1","5","8","normal"
0,"PA","0","1","8","normal"
0,"PA","0","2","8","normal"
0,"PA","0","3","8","normal"
0,"PA","0","4","8","normal"
0,"PA","0","5","8","normal"
0,"AC","0","1","8","normal"
0,"AC","0","2","8","normal"
0,"AC","0","3","8","normal"
0,"AC","0","4","8","normal"
0,"AC","0","5","8","normal"
4,"PA","-0.3","1","23","normal"
4,"PA","-0.3","2","23","normal"
4,"PA","-0.3","3","23","normal"
4,"PA","-0.3","4","23","normal"
4,"PA","-0.3","5","23","normal"
4,"AC","-0.3","1","23","normal"
4,"AC","-0.3","2","23","normal"
4,"AC","-0.3","3","23","normal"
4,"AC","-0.3","4","23","normal"
3,"AC","-0.3","5","23","normal"
0,"PA","-0.2","1","23","normal"
0,"PA","-0.2","2","23","normal"
1,"PA","-0.2","3","23","normal"
0,"PA","-0.2","4","23","normal"
0,"PA","-0.2","5","23","normal"
0,"AC","-0.2","1","23","normal"
0,"AC","-0.2","2","23","normal"
0,"AC","-0.2","3","23","normal"
0,"AC","-0.2","4","23","normal"
0,"AC","-0.2","5","23","normal"
0,"PA","-0.1","1","23","normal"
0,"PA","-0.1","2","23","normal"
0,"PA","-0.1","3","23","normal"
0,"PA","-0.1","4","23","normal"
0,"PA","-0.1","5","23","normal"
0,"AC","-0.1","1","23","normal"
0,"AC","-0.1","2","23","normal"
0,"AC","-0.1","3","23","normal"
0,"AC","-0.1","4","23","normal"
0,"AC","-0.1","5","23","normal"
0,"PA","0","1","23","normal"
0,"PA","0","2","23","normal"
0,"PA","0","3","23","normal"
0,"PA","0","4","23","normal"
0,"PA","0","5","23","normal"
0,"AC","0","1","23","normal"
0,"AC","0","2","23","normal"
0,"AC","0","3","23","normal"
0,"AC","0","4","23","normal"
0,"AC","0","5","23","normal"
4,"PA","-0.3","1","33","normal"
4,"PA","-0.3","2","33","normal"
4,"PA","-0.3","3","33","normal"
4,"PA","-0.3","4","33","normal"
4,"PA","-0.3","5","33","normal"
4,"AC","-0.3","1","33","normal"
4,"AC","-0.3","2","33","normal"
4,"AC","-0.3","3","33","normal"
4,"AC","-0.3","4","33","normal"
2,"AC","-0.3","5","33","normal"
0,"PA","-0.2","1","33","normal"
0,"PA","-0.2","2","33","normal"
1,"PA","-0.2","3","33","normal"
0,"PA","-0.2","4","33","normal"
0,"PA","-0.2","5","33","normal"
0,"AC","-0.2","1","33","normal"
0,"AC","-0.2","2","33","normal"
0,"AC","-0.2","3","33","normal"
1,"AC","-0.2","4","33","normal"
0,"AC","-0.2","5","33","normal"
0,"PA","-0.1","1","33","normal"
0,"PA","-0.1","2","33","normal"
0,"PA","-0.1","3","33","normal"
0,"PA","-0.1","4","33","normal"
0,"PA","-0.1","5","33","normal"
0,"AC","-0.1","1","33","normal"
0,"AC","-0.1","2","33","normal"
0,"AC","-0.1","3","33","normal"
0,"AC","-0.1","4","33","normal"
0,"AC","-0.1","5","33","normal"
0,"PA","0","1","33","normal"
0,"PA","0","2","33","normal"
0,"PA","0","3","33","normal"
0,"PA","0","4","33","normal"
0,"PA","0","5","33","normal"
0,"AC","0","1","33","normal"
0,"AC","0","2","33","normal"
0,"AC","0","3","33","normal"
0,"AC","0","4","33","normal"
0,"AC","0","5","33","normal"
4,"PA","-0.3","1","37","normal"
4,"PA","-0.3","2","37","normal"
4,"PA","-0.3","3","37","normal"
4,"PA","-0.3","4","37","normal"
3,"PA","-0.3","5","37","normal"
3,"AC","-0.3","1","37","normal"
4,"AC","-0.3","2","37","normal"
4,"AC","-0.3","3","37","normal"
4,"AC","-0.3","4","37","normal"
2,"AC","-0.3","5","37","normal"
0,"PA","-0.2","1","37","normal"
0,"PA","-0.2","2","37","normal"
1,"PA","-0.2","3","37","normal"
0,"PA","-0.2","4","37","normal"
1,"PA","-0.2","5","37","normal"
