participant_id,labLocale,taskOrder,timing,trial_type,age_group,maxWrong,maxCorrect,prodSpeech_category,producer
Cardiff.50,Cardiff,point-and-name,point-and-name,point and name,7yo,5,5,Sometimes,Yes
Cardiff.50,Cardiff,second,immediate,experimental,7yo,5,3,Sometimes,Yes
Cardiff.51,Cardiff,first,immediate,experimental,7yo,5,3,Usually,Yes
Cardiff.51,Cardiff,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Cardiff.51,Cardiff,second,delayed,experimental,7yo,5,3,Usually,Yes
Cardiff.52,Cardiff,first,delayed,experimental,7yo,5,3,Usually,Yes
Cardiff.52,Cardiff,point-and-name,point-and-name,point and name,7yo,5,5,Usually,Yes
Cardiff.52,Cardiff,second,immediate,experimental,7yo,5,4,Usually,Yes
Cardiff.53,Cardiff,first,immediate,experimental,7yo,5,3,Usually,Yes
Cardiff.53,Cardiff,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Cardiff.53,Cardiff,second,delayed,experimental,7yo,5,3,Usually,Yes
Cardiff.55,Cardiff,first,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.55,Cardiff,point-and-name,point-and-name,point and name,10yo,5,3,Usually,Yes
Cardiff.55,Cardiff,second,delayed,experimental,10yo,5,5,Usually,Yes
Cardiff.56,Cardiff,first,delayed,experimental,7yo,5,3,Usually,Yes
Cardiff.56,Cardiff,point-and-name,point-and-name,point and name,7yo,5,4,Usually,Yes
Cardiff.56,Cardiff,second,immediate,experimental,7yo,5,3,Usually,Yes
Cardiff.57,Cardiff,first,immediate,experimental,5yo,5,2,Usually,Yes
Cardiff.57,Cardiff,point-and-name,point-and-name,point and name,5yo,5,3,Usually,Yes
Cardiff.57,Cardiff,second,delayed,experimental,5yo,5,3,Usually,Yes
Cardiff.58,Cardiff,first,immediate,experimental,10yo,5,5,Usually,Yes
Cardiff.58,Cardiff,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Cardiff.58,Cardiff,second,delayed,experimental,10yo,5,5,Usually,Yes
Cardiff.59,Cardiff,first,delayed,experimental,5yo,5,4,Usually,Yes
Cardiff.59,Cardiff,point-and-name,point-and-name,point and name,5yo,5,2,Usually,Yes
Cardiff.59,Cardiff,second,immediate,experimental,5yo,5,2,Usually,Yes
Cardiff.6,Cardiff,first,delayed,experimental,5yo,5,3,Usually,Yes
Cardiff.6,Cardiff,point-and-name,point-and-name,point and name,5yo,5,1,Usually,Yes
Cardiff.6,Cardiff,second,immediate,experimental,5yo,5,3,Usually,Yes
Cardiff.60,Cardiff,first,delayed,experimental,7yo,5,4,Usually,Yes
Cardiff.60,Cardiff,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
Cardiff.60,Cardiff,second,immediate,experimental,7yo,5,3,Usually,Yes
Cardiff.62,Cardiff,first,immediate,experimental,7yo,5,4,Usually,Yes
Cardiff.62,Cardiff,point-and-name,point-and-name,point and name,7yo,5,3,Usually,Yes
