electrode,Value,epoch,stimuli,participant
Pz,-8.135954221,5,SH,p6_exp2
Pz,-23.60203274,6,SH,p6_exp2
Pz,-10.48724394,7,SH,p6_exp2
Pz,-5.883051996,8,SH,p6_exp2
Pz,-9.876286124,9,SH,p6_exp2
Pz,-8.781469413,10,SH,p6_exp2
Pz,-3.154118212,11,SH,p6_exp2
Pz,-5.360109629,12,SH,p6_exp2
Pz,-4.065262466,14,SH,p6_exp2
Pz,-6.782554906,15,SH,p6_exp2
Pz,-12.89602521,16,SH,p6_exp2
Pz,-7.031262879,17,SH,p6_exp2
Pz,-4.241002801,18,SH,p6_exp2
Pz,-8.593638084,19,SH,p6_exp2
Pz,-3.704433046,20,SH,p6_exp2
Pz,-7.072620901,21,SH,p6_exp2
Pz,-11.58831038,22,SH,p6_exp2
Pz,-11.29642185,23,SH,p6_exp2
Pz,-16.5712367,24,SH,p6_exp2
Pz,-14.44067172,25,SH,p6_exp2
Pz,-5.079064419,26,SH,p6_exp2
Pz,-3.630069137,27,SH,p6_exp2
Pz,-24.39585532,28,SH,p6_exp2
Pz,-12.42046102,29,SH,p6_exp2
Pz,-8.912735632,30,SH,p6_exp2
Pz,-9.328557135,31,SH,p6_exp2
Pz,-22.17650709,32,SH,p6_exp2
Pz,-12.37681366,33,SH,p6_exp2
Pz,-13.78219518,34,SH,p6_exp2
Pz,-23.53985385,35,SH,p6_exp2
Pz,-7.620928724,36,SH,p6_exp2
Pz,-1.813645024,37,SH,p6_exp2
Pz,-11.70443034,38,SH,p6_exp2
Pz,-10.8333893,39,SH,p6_exp2
PO7,-9.343281458,0,SH,p6_exp2
PO7,-14.4306807,2,SH,p6_exp2
PO7,-21.26038282,3,SH,p6_exp2
PO7,-16.52174288,4,SH,p6_exp2
PO7,-6.1665961,5,SH,p6_exp2
PO7,-10.0544108,6,SH,p6_exp2
PO7,-12.64804225,7,SH,p6_exp2
PO7,-1.766718481,8,SH,p6_exp2
PO7,-5.977250538,9,SH,p6_exp2
PO7,-17.48465728,10,SH,p6_exp2
PO7,-19.93311753,11,SH,p6_exp2
PO7,-14.76975629,12,SH,p6_exp2
PO7,-3.171927394,13,SH,p6_exp2
PO7,-4.152986877,14,SH,p6_exp2
PO7,-11.79260343,15,SH,p6_exp2
PO7,-15.66980717,16,SH,p6_exp2
PO7,-5.685056924,18,SH,p6_exp2
PO7,-12.30240062,19,SH,p6_exp2
PO7,-3.634422433,20,SH,p6_exp2
PO7,-2.567935933,21,SH,p6_exp2
PO7,-9.683753354,22,SH,p6_exp2
PO7,-12.34161459,23,SH,p6_exp2
PO7,-16.3654797,24,SH,p6_exp2
PO7,-14.27753137,25,SH,p6_exp2
PO7,-6.120620969,26,SH,p6_exp2
PO7,-7.382675538,27,SH,p6_exp2
PO7,-13.4759193,28,SH,p6_exp2
PO7,-4.162397044,29,SH,p6_exp2
PO7,-19.14645668,31,SH,p6_exp2
PO7,-14.33619919,32,SH,p6_exp2
PO7,-9.84365248,33,SH,p6_exp2
PO7,-8.586272437,34,SH,p6_exp2
PO7,-14.27378258,35,SH,p6_exp2
PO7,-8.343002198,38,SH,p6_exp2
PO7,-8.699339517,39,SH,p6_exp2
Oz,-12.8462289,0,SH,p6_exp2
Oz,-3.701826164,2,SH,p6_exp2
Oz,-10.95084588,3,SH,p6_exp2
Oz,-11.18985867,4,SH,p6_exp2
Oz,-5.814946203,5,SH,p6_exp2
Oz,-19.73721551,6,SH,p6_exp2
Oz,-12.72845314,7,SH,p6_exp2
Oz,-16.55531451,10,SH,p6_exp2
Oz,-6.723547107,11,SH,p6_exp2
Oz,-10.50378358,12,SH,p6_exp2
Oz,-11.0163262,14,SH,p6_exp2
Oz,-18.8897365,16,SH,p6_exp2
Oz,-9.496256795,18,SH,p6_exp2
Oz,-0.330560268,19,SH,p6_exp2
Oz,-1.163015744,20,SH,p6_exp2
